epoch,loss,val_loss
0,0.00409912271425128,0.0010705544846132398
1,0.0007600724929943681,0.0005655508721247315
2,0.0005001246463507414,0.00044721399899572134
3,0.0003947997174691409,0.00030495948158204556
4,0.000377154559828341,0.00046466750791296363
5,0.0003439138235989958,0.0003745530848391354
6,0.00033606484066694975,0.00035604785080067813
7,0.00030332294409163296,0.0002945794549304992
8,0.0002849771408364177,0.0002581357548478991
9,0.0002624668995849788,0.00034493865678086877
0,0.004565475042909384,0.0012041071895509958
1,0.0007879466866143048,0.0007342654280364513
2,0.0004892234574072063,0.0005397930508479476
3,0.0004051283758599311,0.00032292274408973753
4,0.0003610797575674951,0.0004575510392896831
5,0.00035102307447232306,0.00030304890242405236
6,0.00033191044349223375,0.0002851960889529437
7,0.00031500059412792325,0.0004316700797062367
8,0.000302444095723331,0.0003654604952316731
9,0.00029257984715513885,0.00027756858617067337
0,0.003718756837770343,0.001091307494789362
1,0.0006975775468163192,0.0008119165431708097
2,0.0004920640494674444,0.0004760620358865708
3,0.0004049990966450423,0.0008218104485422373
4,0.00037312883068807423,0.00033806226565502584
5,0.0003453225363045931,0.0003868847561534494
6,0.00032749350066296756,0.000403615616960451
7,0.0003256829222664237,0.00046356176608242095
8,0.0002989155473187566,0.0003270164888817817
9,0.0002813735918607563,0.00041146864532493055
