datetime,nat_demand,holiday,school,Price,Panama_Temperature,Panama_Humidity,Panama_LiquidWater,Panama_WindSpeed,Peak_Hour
01-01-2020 00:00,1032.263,1,0,12593.6086,23.90300903,0.017090459,0.040908814,7.715471906,0
01-01-2020 01:00,1017.5806,1,0,12414.48332,23.72115479,0.017034983,0.052360534,8.123976241,0
01-01-2020 02:00,1000.2797,1,0,12203.41234,23.55878092,0.016984513,0.062889099,8.571867522,0
01-01-2020 03:00,987.2383,1,0,12044.30726,23.45703532,0.016941761,0.070770263,9.008433404,0
01-01-2020 04:00,970.3667,1,0,11838.47374,23.36794434,0.016904236,0.073575337,8.816858331,0
01-01-2020 05:00,957.6767,1,0,11683.65574,23.29299316,0.016873396,0.071317037,8.3342131,0
01-01-2020 06:00,922.3729,1,0,11252.94938,23.30939128,0.016852917,0.066823323,8.147374262,0
01-01-2020 07:00,924.4692,1,0,11278.52424,24.10745646,0.017137955,0.063802084,9.546237357,0
01-01-2020 08:00,954.3947,1,0,11643.61534,25.1906779,0.017257089,0.066151937,11.42445636,0
01-01-2020 09:00,986.0648,1,0,12029.99056,26.29181315,0.017233692,0.056812285,12.97160948,0
01-01-2020 10:00,989.1948,1,0,12068.17656,27.27701213,0.01720577,0.052120209,13.68864543,0
01-01-2020 11:00,1005.6986,1,0,12269.52292,27.98224284,0.017148201,0.053613028,13.88067078,0
01-01-2020 12:00,1006.6785,1,0,12281.4777,28.46021932,0.017162771,0.05564499,13.62890259,0
01-01-2020 13:00,999.7711,1,0,12197.20742,28.67994588,0.017255058,0.059186298,12.77618074,0
01-01-2020 14:00,1000.8847,1,0,12210.79334,28.64444377,0.017361389,0.061917622,11.55206004,0
01-01-2020 15:00,1002.8859,1,0,12235.20798,28.35900269,0.017406659,0.072575886,10.36780898,0
01-01-2020 16:00,993.8271,1,0,12124.69062,27.79511922,0.017444339,0.073954265,9.567302387,0
01-01-2020 17:00,988.1441,1,0,12055.35802,26.81815999,0.017703326,0.071345012,8.486245815,0
01-01-2020 18:00,1086.8084,1,0,13259.06248,25.71088053,0.017855365,0.072113036,7.012789382,0
01-01-2020 19:00,1126.1699,1,0,13739.27278,25.17273356,0.017778484,0.070281983,6.74490338,0
01-01-2020 20:00,1130.5479,1,0,13792.68438,24.84328613,0.017592372,0.064619064,6.788366262,0
01-01-2020 21:00,1123.8589,1,0,13711.07858,24.57313436,0.017406343,0.057512919,6.831649654,0
01-01-2020 22:00,1072.263,1,0,13081.6086,24.35830078,0.017258525,0.051441193,6.920798958,0
01-01-2020 23:00,1076.9789,1,0,13139.14258,24.1650533,0.017090464,0.052024843,7.144331117,0
01-02-2020 00:00,1021.8683,0,0,12466.79326,23.95252889,0.016942877,0.055740356,7.349281726,0
01-02-2020 01:00,989.2139,0,0,12068.40958,23.74941406,0.01684114,0.06414795,7.466041006,0
01-02-2020 02:00,992.0821,0,0,12103.40162,23.59878947,0.016787764,0.068715412,7.52232043,0
01-02-2020 03:00,931.201,0,0,11360.6522,23.46630249,0.016737002,0.070549009,7.604457343,0
01-02-2020 04:00,922.7832,0,0,11257.95504,23.33166911,0.016691289,0.067838033,7.337740729,0
01-02-2020 05:00,958.1755,0,0,11689.7411,23.21311849,0.016637875,0.065729779,6.915193194,0
01-02-2020 06:00,987.5273,0,0,12047.83306,23.15334473,0.016592031,0.059346517,6.687570632,0
01-02-2020 07:00,1079.2255,0,0,13166.5511,24.13560384,0.016927636,0.047513326,8.257527061,0
01-02-2020 08:00,1237.3843,0,0,15096.08846,25.4731486,0.01697118,0.045953115,9.76729623,0
01-02-2020 09:00,1313.5203,0,0,16024.94766,26.76414388,0.016918417,0.039761862,10.44670665,0
01-02-2020 10:00,1383.2545,0,0,16875.7049,27.82023519,0.01690584,0.033795039,10.18704491,0
01-02-2020 11:00,1423.1525,0,0,17362.4605,28.64070028,0.016954429,0.039540609,9.822693469,0
01-02-2020 12:00,1446.9338,0,0,17652.59236,29.1269165,0.017142878,0.046541215,9.590951489,0
01-02-2020 13:00,1426.6427,0,0,17405.04094,29.33076375,0.017313257,0.052070301,9.530089767,0
01-02-2020 14:00,1432.75,0,0,17479.55,29.25549723,0.017427597,0.058842022,9.380142962,0
01-02-2020 15:00,1387.9775,0,0,16933.3255,28.88893026,0.017572624,0.062958401,9.008223511,0
